# epoch	train_loss	dev_loss	dev_score	best_dev_score
13	1.096308	0.0261	0.0368
38	1.023259	0.0408	0.0440
15	1.168615	0.0334	0.0356
15	1.084304	0.0282	0.0376
1	1.395375	0.0269	0.0269
20	1.076175	0.0342	0.0410
37	0.950917	0.0385	0.0410
14	1.092928	0.0266	0.0368
1	1.372610	0.0292	0.0292
2	1.234686	0.0206	0.0269
16	1.165107	0.0358	0.0358
39	1.021051	0.0348	0.0440
21	1.067628	0.0394	0.0410
16	1.080540	0.0202	0.0376
15	1.090158	0.0368	0.0368
38	0.948103	0.0384	0.0410
3	1.222147	0.0265	0.0269
2	1.199851	0.0316	0.0316
22	1.064565	0.0329	0.0410
17	1.158447	0.0299	0.0358
17	1.075199	0.0332	0.0376
40	1.019867	0.0360	0.0440
4	1.214280	0.0292	0.0292
16	1.081693	0.0382	0.0382
23	1.057193	0.0381	0.0410
39	0.943593	0.0319	0.0410
18	1.155596	0.0360	0.0360
18	1.074517	0.0269	0.0376
3	1.179053	0.0280	0.0316
41	1.018078	0.0437	0.0440
5	1.207139	0.0229	0.0292
17	1.074171	0.0360	0.0382
24	1.052723	0.0393	0.0410
19	1.152822	0.0372	0.0372
40	0.940798	0.0373	0.0410
6	1.184940	0.0294	0.0294
19	1.069044	0.0305	0.0376
4	1.165986	0.0352	0.0352
42	1.018990	0.0437	0.0440
18	1.073886	0.0351	0.0382
25	1.048819	0.0438	0.0438
7	1.172209	0.0190	0.0294
20	1.149605	0.0411	0.0411
20	1.066100	0.0340	0.0376
41	0.935455	0.0427	0.0427
19	1.070514	0.0208	0.0382
43	1.014918	0.0286	0.0440
5	1.148465	0.0340	0.0352
26	1.045415	0.0459	0.0459
8	1.162930	0.0258	0.0294
21	1.145652	0.0326	0.0411
21	1.064661	0.0299	0.0376
27	1.047957	0.0378	0.0459
42	0.934961	0.0392	0.0427
9	1.155718	0.0282	0.0294
20	1.067848	0.0356	0.0382
44	1.012530	0.0426	0.0440
6	1.135685	0.0245	0.0352
22	1.142336	0.0349	0.0411
22	1.063273	0.0334	0.0376
10	1.151922	0.0208	0.0294
28	1.040362	0.0383	0.0459
21	1.065155	0.0237	0.0382
43	0.931394	0.0440	0.0440
45	1.012805	0.0421	0.0440
7	1.119651	0.0201	0.0352
23	1.137960	0.0361	0.0411
11	1.146281	0.0277	0.0294
23	1.060196	0.0115	0.0376
29	1.041054	0.0398	0.0459
22	1.063248	0.0213	0.0382
12	1.127917	0.0243	0.0294
44	0.930824	0.0317	0.0440
24	1.134690	0.0339	0.0411
46	1.009640	0.0402	0.0440
30	1.040463	0.0438	0.0459
8	1.109959	0.0326	0.0352
24	1.057349	0.0276	0.0376
23	1.059713	0.0386	0.0386
13	1.122049	0.0299	0.0299
25	1.130869	0.0348	0.0411
31	1.040702	0.0419	0.0459
45	0.927915	0.0390	0.0440
47	1.008377	0.0416	0.0440
25	1.055530	0.0184	0.0376
14	1.114775	0.0245	0.0299
9	1.104790	0.0282	0.0352
24	1.057561	0.0270	0.0386
26	1.127986	0.0452	0.0452
32	1.037883	0.0384	0.0459
15	1.098965	0.0337	0.0337
26	1.050979	0.0395	0.0395
46	0.926066	0.0385	0.0440
48	1.005250	0.0405	0.0440
25	1.054998	0.0346	0.0386
10	1.100000	0.0397	0.0397
27	1.130676	0.0343	0.0452
16	1.087686	0.0319	0.0337
33	1.034937	0.0398	0.0459
27	1.051846	0.0425	0.0425
26	1.051705	0.0405	0.0405
49	1.001825	0.0426	0.0440
47	0.924702	0.0368	0.0440
17	1.080620	0.0269	0.0337
11	1.100098	0.0324	0.0397
34	1.031145	0.0367	0.0459
28	1.124120	0.0296	0.0452
28	1.045017	0.0241	0.0425
27	1.053998	0.0381	0.0405
18	1.075879	0.0349	0.0349
50	1.001874	0.0432	0.0440
48	0.921397	0.0362	0.0440
35	1.029880	0.0384	0.0459
29	1.123675	0.0362	0.0452
12	1.095331	0.0376	0.0397
29	1.044187	0.0346	0.0425
19	1.067227	0.0289	0.0349
28	1.046796	0.0309	0.0405
36	1.028349	0.0357	0.0459
51	0.999331	0.0383	0.0440
30	1.121745	0.0336	0.0452
49	0.916832	0.0381	0.0440
20	1.063619	0.0375	0.0375
13	1.094979	0.0344	0.0397
30	1.043380	0.0311	0.0425
29	1.046565	0.0425	0.0425
37	1.027163	0.0380	0.0459
21	1.061121	0.0270	0.0375
52	0.997716	0.0428	0.0440
31	1.118463	0.0420	0.0452
50	0.915965	0.0307	0.0440
31	1.040028	0.0446	0.0446
14	1.091319	0.0188	0.0397
30	1.044618	0.0426	0.0426
22	1.058018	0.0277	0.0375
38	1.022459	0.0366	0.0459
32	1.118218	0.0403	0.0452
53	0.995147	0.0504	0.0504
51	0.914055	0.0421	0.0440
32	1.040733	0.0226	0.0446
23	1.052491	0.0347	0.0375
31	1.043499	0.0397	0.0426
15	1.089043	0.0356	0.0397
39	1.022661	0.0370	0.0459
33	1.116911	0.0373	0.0452
24	1.050464	0.0333	0.0375
54	0.990658	0.0466	0.0504
33	1.036756	0.0431	0.0446
32	1.041152	0.0345	0.0426
52	0.913137	0.0412	0.0440
40	1.022607	0.0388	0.0459
16	1.088282	0.0350	0.0397
25	1.046491	0.0254	0.0375
34	1.110820	0.0426	0.0452
55	0.990191	0.0428	0.0504
41	1.019432	0.0423	0.0459
34	1.035548	0.0255	0.0446
33	1.038776	0.0311	0.0426
26	1.042273	0.0359	0.0375
53	0.912500	0.0450	0.0450
17	1.084268	0.0336	0.0397
35	1.106991	0.0411	0.0452
42	1.018911	0.0396	0.0459
27	1.044486	0.0379	0.0379
56	0.985938	0.0415	0.0504
35	1.032047	0.0348	0.0446
34	1.034791	0.0341	0.0426
54	0.909182	0.0415	0.0450
18	1.082350	0.0391	0.0397
36	1.106866	0.0130	0.0452
28	1.040088	0.0247	0.0379
43	1.015172	0.0321	0.0459
57	0.981416	0.0426	0.0504
35	1.030651	0.0365	0.0426
36	1.032142	0.0320	0.0446
29	1.038594	0.0250	0.0379
55	0.907500	0.0371	0.0450
37	1.103671	0.0378	0.0452
19	1.081201	0.0398	0.0398
44	1.014851	0.0397	0.0459
36	1.028594	0.0408	0.0426
37	1.032395	0.0273	0.0446
30	1.034623	0.0344	0.0379
58	0.981760	0.0460	0.0504
38	1.101048	0.0405	0.0452
45	1.014764	0.0412	0.0459
56	0.904203	0.0348	0.0450
20	1.080848	0.0277	0.0398
31	1.034595	0.0324	0.0379
37	1.027536	0.0378	0.0426
38	1.028612	0.0281	0.0446
59	0.978651	0.0340	0.0504
46	1.014273	0.0316	0.0459
39	1.100035	0.0336	0.0452
32	1.030496	0.0290	0.0379
57	0.900924	0.0401	0.0450
21	1.076863	0.0222	0.0398
38	1.022847	0.0420	0.0426
39	1.026918	0.0385	0.0446
60	0.976841	0.0380	0.0504
47	1.011774	0.0393	0.0459
33	1.027790	0.0289	0.0379
40	1.099640	0.0348	0.0452
58	0.900227	0.0411	0.0450
22	1.074695	0.0344	0.0398
39	1.022299	0.0384	0.0426
40	1.027951	0.0397	0.0446
48	1.011405	0.0347	0.0459
